Soil_Type,Soil_pH,Soil_Moisture,Temperature,Humidity,Rainfall,Crop_Yield
Sandy,5.9,24.1,26.1,51.3,95.5,3.84
Loamy,6.38,18.5,33.1,59.7,186.7,3.15
Sandy,6.32,17.5,25.5,66.1,119.0,3.6
Sandy,6.36,19.1,33.2,60.1,99.4,3.3
Loamy,6.67,19.2,34.7,50.8,117.2,4.12
Loamy,6.54,12.6,29.7,66.3,200.1,3.13
Sandy,5.8,20.3,29.5,59.8,167.8,3.57
Clay,5.63,16.8,28.3,50.5,163.6,4.21
Sandy,6.96,17.8,34.6,54.3,161.8,3.57
Sandy,6.62,10.5,31.0,55.4,137.2,3.01
Sandy,6.22,21.5,31.4,62.8,138.4,3.13
Sandy,7.12,22.5,32.3,54.7,100.8,2.76
Loamy,6.28,19.3,28.3,59.0,126.6,3.15
Sandy,7.09,21.2,29.8,68.8,151.7,3.56
Clay,6.11,17.8,33.2,70.2,164.8,4.39
Loamy,5.65,19.3,35.8,69.9,90.0,2.4
Clay,7.37,15.9,25.4,67.4,126.7,4.7
Clay,6.29,21.9,25.5,63.5,127.5,3.02
Clay,7.09,17.0,29.7,63.8,152.1,3.14
Clay,6.06,20.2,32.3,73.8,179.4,2.91
Loamy,6.79,19.3,29.3,71.9,168.9,4.55
Loamy,7.25,20.5,36.0,66.2,159.9,3.46
Clay,5.58,21.8,27.1,61.7,120.8,2.61
Clay,7.16,17.7,25.1,68.2,197.5,2.86
Loamy,6.64,22.2,27.1,51.6,189.9,4.09
Loamy,6.71,17.5,34.8,73.6,105.7,4.42
Loamy,6.55,24.3,26.6,63.7,171.7,2.88
Sandy,7.25,21.3,30.3,62.6,206.9,2.68
Sandy,5.59,12.6,29.6,57.3,141.0,3.79
Sandy,6.02,22.4,32.3,50.1,209.5,4.38
Clay,7.25,18.3,25.6,51.5,83.1,3.78
Sandy,7.0,24.8,32.2,56.6,152.3,4.16
Clay,5.54,20.8,28.9,63.5,115.9,3.48
Clay,6.53,11.3,35.2,52.1,116.7,4.37
Sandy,6.56,15.9,34.3,74.3,202.9,4.34
